tweet_id,retweet_count,favorite_count
765669560888528897,1126,4834
765395769549590528,3090,24997
765371061932261376,1989,6654
765222098633691136,3094,10870
764857477905154048,1640,6053
764259802650378240,1383,5611
763956972077010945,49,730
763837565564780549,3781,11703
763183847194451968,1347,5041
763167063695355904,2735,0
763103485927849985,2104,6884
762699858130116608,3287,11304
762471784394268675,5866,10467
762464539388485633,3800,9601
762316489655476224,1026,4487
762035686371364864,14200,29653
761976711479193600,1811,5014
761750502866649088,3563,0
761745352076779520,788,4000
761672994376806400,26556,46054
761599872357261312,1093,3865
761371037149827077,16542,0
761334018830917632,1330,4808
761292947749015552,994,4170
761227390836215808,1434,4976
761004547850530816,3194,10602
760893934457552897,882,3559
760656994973933572,1737,6150
760641137271070720,1181,4648
760539183865880579,3314,7043
760521673607086080,1276,3903
760290219849637889,10505,24967
760252756032651264,793,3692
760190180481531904,1638,5327
760153949710192640,29,0
759943073749200896,1919,5508
759846353224826880,1787,6258
759793422261743616,1754,5556
759557299618865152,1096,4378
759447681597108224,2260,7902
759446261539934208,453,1559
759197388317847553,1796,5676
759159934323924993,1063,0
759099523532779520,3792,13561
759047813560868866,1838,6040
758854675097526272,834,3309
758828659922702336,3533,10426
758740312047005698,1490,5350
758474966123810816,910,3541
758467244762497024,2019,4460
758405701903519748,1748,4854
758355060040593408,954,3134
758099635764359168,9091,17605
758041019896193024,337,2520
757741869644341248,3008,6380
757729163776290825,7158,0
757725642876129280,1105,4236
757611664640446465,1004,4275
757597904299253760,277,0
757596066325864448,952,4054
757400162377592832,6277,14083
757393109802180609,1574,5423
757354760399941633,1295,4187
756998049151549440,1823,5843
756939218950160384,1828,6178
756651752796094464,1187,4683
756526248105566208,3284,9672
756303284449767430,997,3674
756288534030475264,16223,41002
756275833623502848,1397,5953
755955933503782912,2610,6799
755206590534418437,4879,15236
755110668769038337,10126,19624
754874841593970688,7194,0
754856583969079297,2302,6418
754747087846248448,473,2403
754482103782404096,1782,4912
754449512966619136,667,3491
754120377874386944,2152,7346
753655901052166144,1979,5429
753420520834629632,3221,7294
753398408988139520,1716,5330
753375668877008896,2116,7108
753298634498793472,5174,0
753294487569522689,952,3112
753039830821511168,19063,34432
753026973505581056,871,3637
752932432744185856,6260,11699
752917284578922496,1435,6480
752701944171524096,2596,0
752682090207055872,1447,5572
752660715232722944,1413,4060
752568224206688256,2075,5095
752519690950500352,3137,6813
752334515931054080,1005,3577
752309394570878976,14825,0
752173152931807232,1659,5521
751950017322246144,826,2841
751937170840121344,1190,4810
751830394383790080,1770,5405
751793661361422336,2596,5370
751598357617971201,2806,7378
751583847268179968,1000,4089
751538714308972544,1143,4694
751456908746354688,918,2997
751251247299190784,5362,11685
751205363882532864,1656,5874
751132876104687617,1176,4704
750868782890057730,1239,4430
750719632563142656,4556,12194
750506206503038976,1042,4118
750429297815552001,3894,12249
750383411068534784,1036,4247
750381685133418496,25,666
750147208377409536,873,2900
750132105863102464,1171,3348
750117059602808832,1202,4033
750101899009982464,770,2831
750086836815486976,488,2016
750071704093859840,3012,7215
750056684286914561,814,2943
750041628174217216,563,2949
750026558547456000,714,2517
750011400160841729,818,2993
749996283729883136,752,2819
749981277374128128,2260,4767
749774190421639168,1201,4336
749417653287129088,1504,5646
749403093750648834,489,2426
749395845976588288,3135,7925
749317047558017024,2031,5077
749075273010798592,1873,5334
749064354620928000,1399,4484
749036806121881602,727,2871
748977405889503236,3114,9983
748932637671223296,2049,5387
748705597323898880,869,2574
748699167502000129,1448,4389
748692773788876800,1221,3945
748575535303884801,1792,5607
748568946752774144,603,2038
748346686624440324,1117,4823
748337862848962560,3713,7017
748324050481647620,685,3431
748307329658011649,649,3429
748220828303695873,7067,13091
747963614829678593,1944,5355
747933425676525569,2337,6150
747885874273214464,872,2706
747844099428986880,671,2615
747816857231626240,1051,4484
747651430853525504,143,1269
747648653817413632,5294,11907
747600769478692864,519,2161
747594051852075008,942,3407
747512671126323200,1470,5099
747461612269887489,936,3572
747439450712596480,1744,5020
747242308580548608,2614,0
747219827526344708,1431,4867
747204161125646336,825,3113
747103485104099331,3604,8847
746906459439529985,268,2709
746872823977771008,1927,5541
746818907684614144,1588,4930
746790600704425984,1454,4505
746757706116112384,3540,8794
746726898085036033,1629,5613
746542875601690625,1737,4671
746521445350707200,896,0
746507379341139972,985,4329
746369468511756288,1478,5737
746131877086527488,1984,6361
746056683365994496,735,3309
745789745784041472,959,3648
745712589599014916,2112,6471
745433870967832576,2297,6513
745422732645535745,2185,7915
